maintenance_id,equipment_id,service_date,service_type,issue_reported,part_replaced,downtime_hours,service_cost,next_service_due_date,service_status
MAIN10225,EQX1254,2024-07-06,Preventive Maintenance,Engine Overheating,Battery,42.7,143871,2024-09-04,Completed
MAIN10226,EQX1215,2024-10-08,Inspection,No Issue,None,13.6,98152,2024-12-07,Completed
MAIN10227,EQX1292,2024-11-03,Emergency Repair,Brake Wear,Track Chain,11.3,39124,2025-01-02,Completed
MAIN10228,EQX1237,2025-03-08,Inspection,No Issue,None,45.4,93418,2025-05-07,Completed
MAIN10229,EQX1266,2025-06-28,Preventive Maintenance,Transmission Fault,Bucket Teeth,46.7,89832,2025-07-28,Completed
MAIN10230,EQX1176,2024-08-02,Preventive Maintenance,Bucket Damage,Hydraulic Pump,8.6,142612,2024-10-01,Scheduled
MAIN10231,EQX1257,2025-05-27,Hydraulic Service,Hydraulic Leakage,Bucket Teeth,21.8,146633,2025-06-26,Completed
MAIN10232,EQX1093,2025-02-07,Corrective Maintenance,Brake Wear,Hydraulic Hose,25.2,128281,2025-03-24,Completed
MAIN10233,EQX1278,2024-12-27,Emergency Repair,Low Engine Oil,Battery,39.6,24876,2025-02-25,Completed
MAIN10234,EQX1290,2024-11-14,Corrective Maintenance,Engine Overheating,Brake Pads,31.8,46832,2024-12-14,Completed
MAIN10235,EQX1009,2024-07-30,Corrective Maintenance,Hydraulic Leakage,Battery,12.7,15574,2024-08-29,Completed
MAIN10236,EQX1010,2025-03-10,Corrective Maintenance,Bucket Damage,Engine Belt,33.0,79625,2025-05-09,Completed
MAIN10237,EQX1041,2024-12-16,Hydraulic Service,Battery Failure,Hydraulic Pump,18.3,136114,2025-02-14,Completed
MAIN10238,EQX1164,2025-04-22,Preventive Maintenance,Engine Overheating,Hydraulic Pump,7.5,34957,2025-05-22,Scheduled
MAIN10239,EQX1204,2025-02-13,Preventive Maintenance,Bucket Damage,Bucket Teeth,31.8,134942,2025-03-15,In Progress
MAIN10240,EQX1162,2025-05-11,Corrective Maintenance,Transmission Fault,Hydraulic Pump,8.5,74887,2025-07-10,In Progress
MAIN10241,EQX1078,2025-06-18,Hydraulic Service,Brake Wear,Bucket Teeth,46.6,23605,2025-07-18,Completed
MAIN10242,EQX1113,2024-09-07,Inspection,No Issue,None,6.3,91364,2024-11-06,Completed
MAIN10243,EQX1103,2024-10-13,Inspection,No Issue,None,29.6,115397,2024-11-27,Completed
MAIN10244,EQX1072,2024-10-26,Corrective Maintenance,Engine Overheating,Oil Filter,26.9,62058,2024-12-10,Completed
MAIN10245,EQX1222,2024-11-04,Oil Change,Battery Failure,Engine Belt,45.3,73062,2024-12-19,Completed
MAIN10246,EQX1192,2024-07-29,Preventive Maintenance,Track Wear,Battery,22.2,52458,2024-08-28,Scheduled
MAIN10247,EQX1252,2025-02-18,Hydraulic Service,Battery Failure,Hydraulic Pump,9.3,43342,2025-03-20,Completed
MAIN10248,EQX1218,2025-03-08,Emergency Repair,Track Wear,Bucket Teeth,11.5,98098,2025-04-22,Completed
MAIN10249,EQX1171,2024-12-28,Emergency Repair,Fuel Leakage,Track Chain,16.8,95280,2025-02-11,Completed
MAIN10250,EQX1279,2025-03-12,Preventive Maintenance,Low Engine Oil,Track Chain,44.0,118051,2025-04-11,Completed
MAIN10251,EQX1265,2024-08-09,Inspection,No Issue,None,34.3,135180,2024-09-23,Completed
MAIN10252,EQX1089,2024-07-02,Corrective Maintenance,Engine Overheating,Bucket Teeth,41.0,19256,2024-08-01,Completed
MAIN10253,EQX1013,2024-11-08,Inspection,No Issue,None,20.8,36531,2024-12-08,Completed
MAIN10254,EQX1052,2024-07-16,Preventive Maintenance,Brake Wear,Brake Pads,37.2,67779,2024-08-15,Completed
MAIN10255,EQX1143,2025-06-04,Corrective Maintenance,Track Wear,Battery,31.3,70238,2025-07-04,Scheduled
MAIN10256,EQX1257,2025-05-18,Emergency Repair,Engine Overheating,Track Chain,30.8,29143,2025-07-17,Scheduled
MAIN10257,EQX1203,2024-08-19,Hydraulic Service,Battery Failure,Hydraulic Hose,10.5,123011,2024-10-18,Completed
MAIN10258,EQX1282,2025-04-30,Corrective Maintenance,Track Wear,Bucket Teeth,47.2,84312,2025-05-30,Scheduled
MAIN10259,EQX1130,2025-02-05,Preventive Maintenance,Bucket Damage,Fuel Filter,12.5,6240,2025-04-06,Completed
MAIN10260,EQX1032,2024-08-28,Preventive Maintenance,Fuel Leakage,Hydraulic Hose,12.5,88454,2024-10-12,Completed
MAIN10261,EQX1047,2025-01-31,Corrective Maintenance,Engine Overheating,Track Chain,37.3,110667,2025-04-01,Completed
MAIN10262,EQX1093,2024-07-19,Emergency Repair,Track Wear,Track Chain,29.7,64632,2024-08-18,Completed
MAIN10263,EQX1197,2025-02-22,Hydraulic Service,Bucket Damage,Oil Filter,5.3,24397,2025-03-24,Completed
MAIN10264,EQX1232,2025-05-18,Preventive Maintenance,Hydraulic Leakage,Engine Belt,25.0,8976,2025-07-02,Completed
MAIN10265,EQX1215,2024-12-29,Inspection,No Issue,None,19.5,88353,2025-02-12,Completed
MAIN10266,EQX1260,2024-09-18,Corrective Maintenance,Low Engine Oil,Brake Pads,17.4,87819,2024-11-02,Scheduled
MAIN10267,EQX1032,2024-10-17,Preventive Maintenance,Engine Overheating,Engine Belt,18.9,24838,2024-12-16,Completed
MAIN10268,EQX1216,2024-07-31,Corrective Maintenance,Engine Overheating,Fuel Filter,6.8,122084,2024-09-14,Completed
MAIN10269,EQX1097,2024-12-21,Corrective Maintenance,Engine Overheating,Track Chain,19.9,118765,2025-02-19,Completed
MAIN10270,EQX1274,2025-06-29,Inspection,No Issue,None,25.5,10575,2025-08-28,Completed
MAIN10271,EQX1257,2024-08-31,Corrective Maintenance,Bucket Damage,Track Chain,35.3,84950,2024-10-30,Completed
MAIN10272,EQX1209,2025-04-02,Preventive Maintenance,Track Wear,Engine Belt,5.8,42996,2025-05-02,Scheduled
MAIN10273,EQX1231,2024-12-06,Corrective Maintenance,Low Engine Oil,Brake Pads,40.0,145177,2025-01-05,Completed
MAIN10274,EQX1043,2024-08-15,Preventive Maintenance,Engine Overheating,Bucket Teeth,35.5,104107,2024-09-29,Completed
MAIN10275,EQX1154,2024-11-07,Corrective Maintenance,Low Engine Oil,Hydraulic Hose,18.1,10549,2024-12-22,Scheduled
MAIN10276,EQX1049,2024-10-18,Hydraulic Service,Bucket Damage,Engine Belt,14.6,64422,2024-11-17,Completed
MAIN10277,EQX1185,2024-11-01,Preventive Maintenance,Fuel Leakage,Battery,28.3,110292,2024-12-31,Completed
MAIN10278,EQX1036,2025-03-16,Hydraulic Service,Hydraulic Leakage,Brake Pads,13.3,34539,2025-04-30,Completed
MAIN10279,EQX1036,2024-11-01,Corrective Maintenance,Track Wear,Bucket Teeth,32.5,140919,2024-12-16,Completed
MAIN10280,EQX1039,2024-12-30,Corrective Maintenance,Brake Wear,Hydraulic Hose,7.1,133177,2025-01-29,Completed
MAIN10281,EQX1283,2025-03-31,Corrective Maintenance,Bucket Damage,Oil Filter,46.7,145397,2025-05-15,Completed
MAIN10282,EQX1004,2024-08-11,Corrective Maintenance,Fuel Leakage,Bucket Teeth,2.5,10681,2024-09-25,Completed
MAIN10283,EQX1159,2025-03-29,Emergency Repair,Hydraulic Leakage,Oil Filter,9.1,61108,2025-04-28,Completed
MAIN10284,EQX1279,2025-03-19,Inspection,No Issue,None,27.3,39056,2025-04-18,Completed
MAIN10285,EQX1026,2025-06-13,Corrective Maintenance,Hydraulic Leakage,Oil Filter,2.6,90691,2025-07-13,Completed
MAIN10286,EQX1165,2025-07-01,Inspection,No Issue,None,41.0,70556,2025-08-30,Completed
MAIN10287,EQX1290,2024-07-31,Preventive Maintenance,Engine Overheating,Track Chain,35.8,42234,2024-09-29,Scheduled
MAIN10288,EQX1113,2024-07-04,Preventive Maintenance,Brake Wear,Oil Filter,10.1,123573,2024-08-18,Completed
MAIN10289,EQX1243,2025-03-09,Emergency Repair,Engine Overheating,Oil Filter,45.1,23370,2025-05-08,Completed
MAIN10290,EQX1257,2025-04-26,Hydraulic Service,Brake Wear,Battery,45.6,68019,2025-06-25,In Progress
MAIN10291,EQX1278,2024-10-22,Emergency Repair,Engine Overheating,Bucket Teeth,25.4,72184,2024-12-21,Completed
MAIN10292,EQX1150,2025-06-30,Corrective Maintenance,Hydraulic Leakage,Bucket Teeth,26.2,60355,2025-08-29,Completed
MAIN10293,EQX1182,2024-08-31,Corrective Maintenance,Brake Wear,Hydraulic Pump,7.8,148898,2024-10-30,Completed
MAIN10294,EQX1137,2025-03-19,Corrective Maintenance,Battery Failure,Fuel Filter,41.2,88695,2025-05-03,Completed
MAIN10295,EQX1064,2025-05-26,Preventive Maintenance,Fuel Leakage,Hydraulic Pump,6.2,128913,2025-06-25,Completed
MAIN10296,EQX1189,2025-06-24,Inspection,No Issue,None,26.4,45894,2025-08-23,Completed
MAIN10297,EQX1132,2025-03-07,Corrective Maintenance,Track Wear,Brake Pads,36.8,122515,2025-04-21,Completed
MAIN10298,EQX1186,2025-01-26,Inspection,No Issue,None,24.2,137188,2025-03-12,Completed
MAIN10299,EQX1043,2025-06-16,Corrective Maintenance,Battery Failure,Engine Belt,4.5,6002,2025-07-31,Completed
MAIN10300,EQX1284,2025-02-20,Hydraulic Service,Hydraulic Leakage,Bucket Teeth,7.4,33534,2025-04-21,Completed
MAIN10301,EQX1142,2025-03-26,Emergency Repair,Hydraulic Leakage,Battery,26.1,101844,2025-04-25,Completed
MAIN10302,EQX1172,2024-11-25,Emergency Repair,Fuel Leakage,Hydraulic Pump,19.4,11607,2025-01-24,Completed
MAIN10303,EQX1179,2025-05-04,Oil Change,Transmission Fault,Track Chain,20.0,51486,2025-06-18,Completed
MAIN10304,EQX1154,2024-12-18,Preventive Maintenance,Transmission Fault,Track Chain,11.3,148742,2025-02-16,Completed
MAIN10305,EQX1115,2024-08-19,Hydraulic Service,Track Wear,Oil Filter,44.3,51405,2024-10-18,Completed
MAIN10306,EQX1091,2024-09-14,Emergency Repair,Hydraulic Leakage,Fuel Filter,11.8,76416,2024-10-14,Completed
MAIN10307,EQX1268,2024-07-19,Preventive Maintenance,Low Engine Oil,Bucket Teeth,43.9,122812,2024-08-18,Completed
MAIN10308,EQX1037,2025-06-09,Emergency Repair,Track Wear,Brake Pads,29.2,40394,2025-07-09,Completed
MAIN10309,EQX1290,2025-01-04,Preventive Maintenance,Engine Overheating,Hydraulic Pump,41.5,48813,2025-02-18,Completed
MAIN10310,EQX1101,2025-05-29,Corrective Maintenance,Hydraulic Leakage,Hydraulic Hose,21.9,23917,2025-06-28,Completed
MAIN10311,EQX1036,2024-11-29,Corrective Maintenance,Fuel Leakage,Oil Filter,10.4,23335,2025-01-13,In Progress
MAIN10312,EQX1287,2024-08-06,Corrective Maintenance,Track Wear,Battery,24.0,107736,2024-10-05,Completed
MAIN10313,EQX1296,2024-11-17,Inspection,No Issue,None,3.0,34081,2025-01-01,Completed
MAIN10314,EQX1242,2024-12-06,Hydraulic Service,Bucket Damage,Oil Filter,20.1,12743,2025-02-04,Completed
MAIN10315,EQX1195,2024-10-18,Inspection,No Issue,None,39.6,6520,2024-12-17,Completed
MAIN10316,EQX1174,2025-04-08,Hydraulic Service,Transmission Fault,Oil Filter,14.9,20602,2025-05-23,Completed
MAIN10317,EQX1154,2025-01-09,Preventive Maintenance,Engine Overheating,Hydraulic Pump,28.7,112699,2025-02-23,In Progress
MAIN10318,EQX1031,2024-11-29,Corrective Maintenance,Hydraulic Leakage,Brake Pads,41.3,44541,2024-12-29,Completed
MAIN10319,EQX1178,2025-01-24,Corrective Maintenance,Engine Overheating,Hydraulic Hose,15.7,28875,2025-03-25,Completed
MAIN10320,EQX1066,2025-06-10,Preventive Maintenance,Brake Wear,Engine Belt,2.2,121150,2025-07-25,Completed
MAIN10321,EQX1128,2024-11-20,Emergency Repair,Low Engine Oil,Hydraulic Pump,40.8,13781,2025-01-04,Completed
MAIN10322,EQX1249,2025-05-22,Corrective Maintenance,Track Wear,Hydraulic Pump,18.1,91154,2025-07-06,Scheduled
MAIN10323,EQX1063,2024-12-16,Corrective Maintenance,Track Wear,Hydraulic Pump,22.9,31839,2025-01-15,Completed
MAIN10324,EQX1161,2025-03-24,Preventive Maintenance,Transmission Fault,Hydraulic Pump,40.0,149875,2025-04-23,Completed
MAIN10325,EQX1115,2025-04-05,Corrective Maintenance,Engine Overheating,Hydraulic Hose,21.9,76832,2025-05-20,Scheduled
MAIN10326,EQX1140,2025-03-29,Inspection,No Issue,None,40.6,132380,2025-04-28,Completed
MAIN10327,EQX1261,2025-03-26,Preventive Maintenance,Low Engine Oil,Track Chain,28.1,80377,2025-05-10,Completed
MAIN10328,EQX1119,2025-01-29,Corrective Maintenance,Brake Wear,Oil Filter,43.7,127092,2025-03-30,Completed
MAIN10329,EQX1291,2025-05-09,Corrective Maintenance,Brake Wear,Oil Filter,13.9,82103,2025-06-23,Completed
MAIN10330,EQX1119,2025-06-16,Emergency Repair,Low Engine Oil,Track Chain,30.8,35000,2025-07-16,Completed
MAIN10331,EQX1242,2025-04-08,Corrective Maintenance,Transmission Fault,Fuel Filter,31.6,43466,2025-05-23,Completed
MAIN10332,EQX1063,2024-10-03,Emergency Repair,Transmission Fault,Brake Pads,18.7,67014,2024-11-17,Completed
MAIN10333,EQX1142,2025-05-07,Emergency Repair,Low Engine Oil,Oil Filter,6.1,139859,2025-06-06,Completed
MAIN10334,EQX1177,2024-12-03,Emergency Repair,Transmission Fault,Brake Pads,38.1,59073,2025-02-01,Completed
MAIN10335,EQX1186,2025-06-20,Inspection,No Issue,None,46.5,106650,2025-08-04,Scheduled
MAIN10336,EQX1213,2024-12-28,Preventive Maintenance,Hydraulic Leakage,Brake Pads,19.2,129258,2025-01-27,Completed
MAIN10337,EQX1006,2024-10-02,Inspection,No Issue,None,37.9,101445,2024-11-01,Completed
MAIN10338,EQX1036,2025-01-18,Hydraulic Service,Bucket Damage,Brake Pads,12.5,139347,2025-03-04,Completed
MAIN10339,EQX1025,2025-04-17,Hydraulic Service,Transmission Fault,Hydraulic Pump,26.4,7909,2025-06-16,Completed
MAIN10340,EQX1267,2025-01-31,Oil Change,Brake Wear,Engine Belt,42.2,119082,2025-04-01,Scheduled
MAIN10341,EQX1023,2024-07-13,Corrective Maintenance,Transmission Fault,Bucket Teeth,13.6,97727,2024-08-27,Completed
MAIN10342,EQX1208,2025-01-14,Emergency Repair,Engine Overheating,Bucket Teeth,25.6,74276,2025-02-28,Completed
MAIN10343,EQX1255,2025-01-27,Preventive Maintenance,Track Wear,Hydraulic Hose,16.9,18030,2025-03-13,Scheduled
MAIN10344,EQX1241,2025-01-13,Corrective Maintenance,Fuel Leakage,Brake Pads,10.4,126581,2025-02-27,Scheduled
MAIN10345,EQX1280,2025-05-01,Oil Change,Transmission Fault,Engine Belt,25.6,76023,2025-06-30,Completed
MAIN10346,EQX1215,2025-03-09,Preventive Maintenance,Battery Failure,Battery,41.8,78965,2025-05-08,Completed
MAIN10347,EQX1137,2024-12-29,Corrective Maintenance,Track Wear,Brake Pads,42.5,15396,2025-02-27,Completed
MAIN10348,EQX1115,2024-09-30,Emergency Repair,Transmission Fault,Battery,38.7,60534,2024-10-30,Completed
MAIN10349,EQX1285,2024-08-24,Emergency Repair,Engine Overheating,Fuel Filter,35.5,14864,2024-10-08,Scheduled
MAIN10350,EQX1294,2024-11-28,Emergency Repair,Hydraulic Leakage,Battery,35.5,110490,2024-12-28,Completed
MAIN10351,EQX1255,2025-01-30,Preventive Maintenance,Fuel Leakage,Bucket Teeth,26.3,43331,2025-03-31,Completed
MAIN10352,EQX1277,2024-11-23,Inspection,No Issue,None,22.8,140541,2025-01-07,Completed
MAIN10353,EQX1290,2025-05-29,Preventive Maintenance,Brake Wear,Track Chain,14.9,138975,2025-06-28,Completed
MAIN10354,EQX1151,2024-09-22,Inspection,No Issue,None,39.9,64054,2024-10-22,Completed
MAIN10355,EQX1160,2025-04-30,Inspection,No Issue,None,46.5,115274,2025-05-30,Completed
MAIN10356,EQX1175,2024-07-26,Emergency Repair,Hydraulic Leakage,Hydraulic Hose,9.3,52222,2024-08-25,Completed
MAIN10357,EQX1282,2025-03-04,Inspection,No Issue,None,17.9,97379,2025-04-18,Scheduled
MAIN10358,EQX1282,2024-08-09,Corrective Maintenance,Low Engine Oil,Fuel Filter,12.4,126828,2024-10-08,Completed
MAIN10359,EQX1240,2024-12-27,Inspection,No Issue,None,30.1,101936,2025-02-25,Completed
MAIN10360,EQX1128,2024-10-08,Corrective Maintenance,Bucket Damage,Bucket Teeth,23.1,123170,2024-12-07,Completed
MAIN10361,EQX1247,2025-05-04,Corrective Maintenance,Fuel Leakage,Fuel Filter,44.2,6480,2025-07-03,Completed
MAIN10362,EQX1135,2024-12-31,Emergency Repair,Hydraulic Leakage,Battery,41.3,36216,2025-03-01,Completed
MAIN10363,EQX1117,2025-01-15,Corrective Maintenance,Brake Wear,Bucket Teeth,12.8,37487,2025-03-16,Completed
MAIN10364,EQX1135,2024-07-29,Hydraulic Service,Transmission Fault,Bucket Teeth,43.7,20132,2024-09-12,Completed
MAIN10365,EQX1085,2025-03-14,Corrective Maintenance,Hydraulic Leakage,Engine Belt,40.4,132575,2025-05-13,Completed
MAIN10366,EQX1210,2024-09-16,Hydraulic Service,Brake Wear,Hydraulic Pump,8.2,81753,2024-10-31,Completed
MAIN10367,EQX1103,2025-03-17,Oil Change,Track Wear,Track Chain,26.1,122844,2025-05-16,Completed
MAIN10368,EQX1181,2025-04-14,Preventive Maintenance,Engine Overheating,Brake Pads,3.7,20729,2025-05-29,In Progress
MAIN10369,EQX1047,2025-03-19,Hydraulic Service,Track Wear,Bucket Teeth,23.6,97902,2025-05-18,Completed
MAIN10370,EQX1106,2025-03-27,Inspection,No Issue,None,40.6,104760,2025-05-11,Completed
MAIN10371,EQX1249,2024-07-15,Corrective Maintenance,Bucket Damage,Oil Filter,7.2,62809,2024-08-14,Completed
MAIN10372,EQX1009,2024-09-22,Emergency Repair,Engine Overheating,Hydraulic Pump,32.1,144929,2024-10-22,Completed
MAIN10373,EQX1122,2025-04-11,Corrective Maintenance,Battery Failure,Bucket Teeth,18.7,21167,2025-05-26,Completed
MAIN10374,EQX1080,2024-11-17,Corrective Maintenance,Engine Overheating,Battery,21.9,125463,2025-01-16,Completed
MAIN10375,EQX1069,2025-03-12,Preventive Maintenance,Brake Wear,Engine Belt,23.6,54445,2025-04-11,Completed
MAIN10376,EQX1041,2024-09-08,Emergency Repair,Low Engine Oil,Bucket Teeth,39.6,77848,2024-10-08,Completed
MAIN10377,EQX1239,2025-04-01,Preventive Maintenance,Engine Overheating,Oil Filter,3.8,72037,2025-05-31,Completed
MAIN10378,EQX1180,2025-03-18,Hydraulic Service,Transmission Fault,Oil Filter,25.5,97620,2025-04-17,Scheduled
MAIN10379,EQX1027,2025-06-05,Preventive Maintenance,Low Engine Oil,Hydraulic Hose,18.1,53470,2025-07-20,Completed
MAIN10380,EQX1152,2025-01-10,Emergency Repair,Fuel Leakage,Engine Belt,35.2,37587,2025-02-09,Completed
MAIN10381,EQX1146,2025-02-09,Corrective Maintenance,Engine Overheating,Fuel Filter,10.5,7836,2025-03-11,Completed
MAIN10382,EQX1288,2025-02-26,Preventive Maintenance,Hydraulic Leakage,Bucket Teeth,17.6,81138,2025-03-28,Completed
MAIN10383,EQX1189,2025-04-01,Preventive Maintenance,Fuel Leakage,Battery,8.1,87416,2025-05-31,Completed
MAIN10384,EQX1086,2024-07-22,Corrective Maintenance,Track Wear,Hydraulic Hose,35.3,149061,2024-09-05,Scheduled
MAIN10385,EQX1109,2024-11-13,Inspection,No Issue,None,33.5,104230,2024-12-13,Completed
MAIN10386,EQX1174,2025-05-27,Emergency Repair,Battery Failure,Oil Filter,18.1,129444,2025-07-26,In Progress
MAIN10387,EQX1264,2025-06-25,Emergency Repair,Battery Failure,Brake Pads,22.9,40956,2025-08-09,Completed
MAIN10388,EQX1051,2025-06-22,Emergency Repair,Battery Failure,Track Chain,19.7,37479,2025-08-06,Completed
MAIN10389,EQX1129,2024-09-13,Hydraulic Service,Hydraulic Leakage,Hydraulic Pump,27.1,127271,2024-11-12,Completed
MAIN10390,EQX1099,2025-06-10,Corrective Maintenance,Battery Failure,Oil Filter,34.0,19516,2025-07-25,Completed
MAIN10391,EQX1225,2024-10-28,Corrective Maintenance,Battery Failure,Oil Filter,9.9,48560,2024-11-27,Completed
MAIN10392,EQX1011,2024-09-18,Corrective Maintenance,Low Engine Oil,Battery,34.8,24834,2024-10-18,Completed
MAIN10393,EQX1113,2025-06-08,Oil Change,Engine Overheating,Battery,47.4,62475,2025-08-07,Completed
MAIN10394,EQX1254,2024-08-25,Corrective Maintenance,Fuel Leakage,Oil Filter,13.1,16823,2024-10-09,Completed
MAIN10395,EQX1033,2024-11-26,Corrective Maintenance,Fuel Leakage,Battery,29.0,48274,2025-01-25,In Progress
MAIN10396,EQX1212,2025-01-01,Corrective Maintenance,Engine Overheating,Hydraulic Hose,24.9,145522,2025-02-15,Completed
MAIN10397,EQX1149,2024-08-01,Emergency Repair,Fuel Leakage,Oil Filter,25.0,76217,2024-09-15,Completed
MAIN10398,EQX1149,2024-07-24,Corrective Maintenance,Bucket Damage,Battery,16.9,121567,2024-08-23,Completed
MAIN10399,EQX1022,2025-05-17,Corrective Maintenance,Track Wear,Oil Filter,13.5,41167,2025-07-01,Completed
MAIN10400,EQX1142,2024-11-22,Emergency Repair,Low Engine Oil,Oil Filter,13.8,136363,2024-12-22,Completed
MAIN10401,EQX1095,2025-06-01,Preventive Maintenance,Transmission Fault,Bucket Teeth,12.7,22340,2025-07-01,Completed
MAIN10402,EQX1110,2025-05-12,Corrective Maintenance,Hydraulic Leakage,Hydraulic Pump,9.3,105096,2025-06-11,Completed
MAIN10403,EQX1045,2025-01-25,Preventive Maintenance,Bucket Damage,Bucket Teeth,4.7,37530,2025-03-11,Completed
MAIN10404,EQX1060,2025-04-13,Preventive Maintenance,Track Wear,Fuel Filter,35.6,116495,2025-05-28,Completed
MAIN10405,EQX1046,2024-07-26,Emergency Repair,Track Wear,Battery,37.9,113627,2024-09-24,Completed
MAIN10406,EQX1250,2025-03-31,Corrective Maintenance,Brake Wear,Engine Belt,29.3,20113,2025-04-30,Completed
MAIN10407,EQX1137,2025-02-01,Corrective Maintenance,Track Wear,Oil Filter,32.5,135845,2025-04-02,Completed
MAIN10408,EQX1027,2025-06-06,Oil Change,Low Engine Oil,Hydraulic Hose,20.5,76267,2025-08-05,Completed
MAIN10409,EQX1061,2025-06-27,Preventive Maintenance,Track Wear,Oil Filter,6.9,26841,2025-08-11,Completed
MAIN10410,EQX1298,2025-03-22,Inspection,No Issue,None,4.7,90773,2025-05-21,Completed
MAIN10411,EQX1039,2024-07-19,Inspection,No Issue,None,35.5,93938,2024-09-17,Completed
MAIN10412,EQX1261,2024-12-23,Corrective Maintenance,Bucket Damage,Fuel Filter,8.7,35039,2025-01-22,In Progress
MAIN10413,EQX1026,2024-07-28,Hydraulic Service,Fuel Leakage,Engine Belt,31.5,43582,2024-09-26,Completed
MAIN10414,EQX1273,2024-09-13,Hydraulic Service,Hydraulic Leakage,Battery,41.7,114390,2024-10-13,Completed
MAIN10415,EQX1210,2024-11-30,Emergency Repair,Hydraulic Leakage,Hydraulic Hose,27.3,126144,2024-12-30,Completed
MAIN10416,EQX1102,2024-08-08,Emergency Repair,Low Engine Oil,Hydraulic Pump,8.1,67501,2024-10-07,Completed
MAIN10417,EQX1204,2024-09-03,Inspection,No Issue,None,42.1,140571,2024-11-02,In Progress
MAIN10418,EQX1041,2025-02-08,Hydraulic Service,Low Engine Oil,Engine Belt,25.8,21953,2025-04-09,Completed
MAIN10419,EQX1260,2024-12-08,Emergency Repair,Engine Overheating,Oil Filter,28.7,15985,2025-01-07,Completed
MAIN10420,EQX1107,2025-03-03,Emergency Repair,Engine Overheating,Battery,13.5,125359,2025-04-02,Completed
MAIN10421,EQX1175,2025-04-05,Emergency Repair,Brake Wear,Hydraulic Pump,36.6,144949,2025-06-04,Completed
MAIN10422,EQX1226,2024-11-14,Preventive Maintenance,Fuel Leakage,Hydraulic Pump,27.4,70863,2024-12-29,Completed
MAIN10423,EQX1106,2024-10-29,Preventive Maintenance,Battery Failure,Battery,18.3,32484,2024-12-13,In Progress
MAIN10424,EQX1212,2025-05-15,Preventive Maintenance,Track Wear,Track Chain,37.1,77222,2025-07-14,Completed
MAIN10425,EQX1247,2025-01-07,Corrective Maintenance,Engine Overheating,Oil Filter,24.9,7543,2025-02-06,Scheduled
MAIN10426,EQX1240,2024-11-27,Corrective Maintenance,Fuel Leakage,Bucket Teeth,47.6,42723,2024-12-27,Completed
MAIN10427,EQX1180,2024-07-24,Corrective Maintenance,Hydraulic Leakage,Hydraulic Hose,31.4,132813,2024-08-23,Completed
MAIN10428,EQX1045,2024-10-14,Preventive Maintenance,Brake Wear,Engine Belt,36.6,120047,2024-12-13,In Progress
MAIN10429,EQX1081,2025-06-05,Emergency Repair,Transmission Fault,Oil Filter,34.9,75376,2025-07-20,Completed
MAIN10430,EQX1107,2024-10-27,Corrective Maintenance,Fuel Leakage,Battery,13.0,102115,2024-12-11,Completed
MAIN10431,EQX1046,2024-12-06,Emergency Repair,Track Wear,Hydraulic Hose,15.2,41400,2025-01-05,Completed
MAIN10432,EQX1250,2024-07-10,Preventive Maintenance,Transmission Fault,Fuel Filter,43.7,25737,2024-09-08,Scheduled
MAIN10433,EQX1147,2024-10-15,Emergency Repair,Hydraulic Leakage,Hydraulic Pump,13.7,102710,2024-12-14,Completed
MAIN10434,EQX1007,2024-08-11,Corrective Maintenance,Transmission Fault,Hydraulic Hose,9.7,30106,2024-09-10,Completed
MAIN10435,EQX1154,2025-03-02,Corrective Maintenance,Low Engine Oil,Brake Pads,8.0,78773,2025-04-16,Completed
MAIN10436,EQX1205,2024-10-18,Emergency Repair,Battery Failure,Oil Filter,23.3,134764,2024-12-02,Completed
MAIN10437,EQX1199,2025-05-01,Emergency Repair,Brake Wear,Oil Filter,13.4,12803,2025-06-30,Completed
MAIN10438,EQX1108,2025-03-31,Corrective Maintenance,Brake Wear,Hydraulic Hose,21.3,59310,2025-05-30,In Progress
MAIN10439,EQX1274,2025-04-27,Preventive Maintenance,Hydraulic Leakage,Oil Filter,17.2,71049,2025-06-26,Completed
MAIN10440,EQX1082,2025-06-22,Hydraulic Service,Battery Failure,Bucket Teeth,30.7,136507,2025-07-22,Completed
MAIN10441,EQX1013,2024-10-27,Preventive Maintenance,Low Engine Oil,Oil Filter,32.7,135294,2024-11-26,Completed
MAIN10442,EQX1238,2025-06-30,Emergency Repair,Brake Wear,Oil Filter,44.4,35522,2025-08-29,Completed
MAIN10443,EQX1067,2025-01-14,Emergency Repair,Engine Overheating,Fuel Filter,29.2,144352,2025-02-13,Scheduled
MAIN10444,EQX1122,2025-05-26,Emergency Repair,Bucket Damage,Brake Pads,46.8,98758,2025-07-10,Completed
MAIN10445,EQX1285,2025-05-14,Emergency Repair,Engine Overheating,Battery,35.8,83470,2025-06-13,Completed
MAIN10446,EQX1202,2024-12-06,Emergency Repair,Transmission Fault,Engine Belt,8.8,53716,2025-02-04,Completed
MAIN10447,EQX1067,2024-08-02,Emergency Repair,Battery Failure,Hydraulic Pump,3.3,35260,2024-09-01,Completed
MAIN10448,EQX1099,2025-04-03,Hydraulic Service,Track Wear,Hydraulic Hose,8.1,76216,2025-05-18,Completed
MAIN10449,EQX1188,2024-07-23,Inspection,No Issue,None,40.2,62593,2024-08-22,Scheduled
MAIN10450,EQX1132,2024-12-04,Corrective Maintenance,Brake Wear,Track Chain,31.5,96789,2025-01-03,In Progress
